20120601;5,3
20120602;18,17
20120603;3,946
20120604;7,995
20120605;15,733
20120606;17,428
20120607;9,706
20120608;17,95
20120609;5,8
20120610;15,867
20120611;10,534
20120612;6,867
20120613;20,454
20120614;18,28
20120615;5,477
20120616;19,527
20120617;15,173
20120618;13,469
20120619;14,441
20120620;19,161
20120621;10,367
20120622;13,495
20120623;17,497
20120624;9,785
20120625;15,017
20120626;18,439
20120627;7,83
20120628;13,207
20120629;17,541
20120630;10,428
20120701;14,357
20120702;16,721
20120703;11,414
20120704;16,008
20120705;14,993
20120706;13,998
20120707;8,128
20120708;13,118
20120709;8,100
20120710;8,739
20120711;13,45
20120712;18,540
20120713;12,119
20120714;8,878
20120715;15,14
20120716;4,444
